LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6676673.506;25498056.96;1;2010
MA;6674546.781;25497917.26;1;2010
MA;6675955.328;25496449.58;1;2010
MA;6675737.162;25497638.02;2;2010
MA;6677288.996;25493304.01;1;2010
MA;6672739.945;25496180.75;1;2010
MA;6673054.9;25496832.67;1;2010
MA;6681726.734;25498739.38;3;2010
MA;6680203.342;25494140.32;1;2010
MA;6677158.245;25495956.81;1;2010
MA;6672731.759;25496802.43;1;2010
MA;6678200.271;25498476.02;1;2010
MP;6671513.485;25496359;2;2010
PP;6681279.236;25499657.59;2;2010
MP;6674590.598;25502600.25;2;2010
MA;6684665.673;25499493.86;1;2010
MA;6681120.932;25497076.56;2;2010
MA;6677385.886;25494024.57;1;2010
MA;6680916.344;25499768.66;1;2010
MA;6677097.986;25496114.75;1;2010
MA;6681725.468;25497113.28;1;2010
MA;6680555.901;25494315.76;1;2010
MA;6671850.589;25496718.04;1;2010
PP;6672131.966;25495402.61;2;2010
MA;6677555.609;25504346.72;1;2010
MA;6681295.969;25491528.41;1;2010
MA;6674242.611;25496762.66;1;2010
MA;6680140.035;25498126.02;1;2010
MA;6680916.723;25501002.52;1;2010
MA;6674950.907;25497779.93;1;2010
MA;6682159.54;25492385.84;1;2010
MA;6683538.205;25499108.76;1;2010
MA;6675630.215;25497741.33;2;2010
MA;6672755.117;25496813.73;1;2010
MA;6675028.875;25502136.65;1;2010
MA;6678405.768;25497695.24;1;2010
MA;6671564.547;25497780.44;1;2010
MA;6677274.938;25504628.43;1;2010
MA;6675894.192;25493606.46;1;2010
MP;6673763.117;25495733.46;1;2010
MA;6675701.556;25501747;1;2010
MA;6682863.341;25503881.61;2;2010
MA;6672649.291;25496887.98;1;2010
MA;6679018.359;25501200.17;1;2010
MA;6675182.403;25497625.81;1;2010
MA;6677286.177;25504173.76;1;2010
MA;6672985.695;25497719.38;1;2010
MA;6677713.579;25504870.32;1;2010
MA;6673112.768;25496661.8;1;2010
MA;6671988.384;25496080.43;1;2010
MA;6683337.364;25508590.67;1;2010
MA;6678953.407;25506353.84;1;2010
MA;6674760.744;25495764.28;1;2010
MA;6672994.855;25496601.32;1;2010
MA;6680711.366;25493040.17;1;2010
MA;6673251.654;25495762.96;1;2010
MA;6672043.185;25493925.27;1;2010
MA;6681480.43;25499230.19;1;2010
MA;6677946.242;25493561.28;1;2010
MA;6679707.121;25497412.63;1;2010
PP;6672269.179;25495307.39;2;2010
MA;6673103.403;25496980.3;1;2010
MA;6672398.998;25495331.48;1;2010
JK;6673454.362;25496310.21;1;2010
MA;6674674.813;25498146.54;1;2010
JK;6674810.515;25497406.92;2;2010
MA;6672019.433;25496543.81;1;2010
MP;6685107.509;25501589.96;2;2010
MA;6672805.57;25495869.54;1;2010
MA;6673730.051;25497548.73;1;2010
MA;6673766.148;25495437.16;1;2010
MA;6680209.683;25500621.67;1;2010
MA;6673052.303;25502725.91;1;2010
MA;6678753.064;25508493.47;1;2010
MA;6675294.883;25501536.17;1;2010
MA;6684691.39;25501958.84;2;2010
MA;6672304.077;25495633.56;1;2010
PP;6683668.393;25502346.11;2;2010
